Date,AA,AAPL,AXP,BA,CAT,CSCO,DD,DIS,EK,FDX,GE,GT,HPQ,IBM,IP,JNJ,JPM,KO,MCD,MMM,MO,MRK,MSFT,PG,T,UTX,WMT
Jan-2006,0.065,0.050,0.022,-0.027,0.180,0.085,-0.079,0.056,0.073,-0.022,-0.066,-0.100,0.089,-0.011,-0.029,-0.042,0.010,0.027,0.038,-0.061,-0.032,0.085,0.076,0.028,0.074,0.044,-0.015
Feb-2006,-0.065,-0.093,0.027,0.069,0.076,0.090,0.037,0.106,0.118,0.060,0.011,-0.084,0.052,-0.011,0.012,0.007,0.035,0.014,-0.003,0.018,-0.005,0.010,-0.042,0.012,0.063,0.006,-0.016
Mar-2006,0.042,-0.084,-0.025,0.072,-0.017,0.071,0.049,-0.004,0.014,0.054,0.058,0.010,0.005,0.028,0.055,0.027,0.012,0.005,-0.016,0.028,-0.004,0.022,0.012,-0.038,-0.020,-0.009,0.045
Apr-2006,0.105,0.122,0.026,0.071,0.058,-0.033,0.045,0.003,-0.052,0.019,-0.006,-0.033,-0.013,-0.002,0.052,-0.010,0.099,0.002,0.006,0.129,0.033,-0.023,-0.113,0.016,-0.019,0.083,-0.047
May-2006,-0.057,-0.151,0.010,0.001,-0.037,-0.061,-0.028,0.091,-0.097,-0.051,-0.009,-0.091,-0.003,-0.026,-0.058,0.034,-0.060,0.049,-0.041,-0.015,-0.011,-0.022,-0.058,-0.068,-0.006,-0.001,0.080
Jun-2006,0.020,-0.042,-0.021,-0.016,0.021,-0.008,-0.022,-0.016,-0.014,0.070,-0.031,-0.127,-0.019,-0.039,-0.049,-0.005,-0.015,-0.016,0.013,-0.035,0.027,0.094,0.029,0.025,0.070,0.014,-0.006
Jul-2006,-0.074,0.187,-0.019,-0.055,-0.044,-0.084,-0.046,-0.010,-0.064,-0.104,-0.008,-0.009,0.007,0.008,0.063,0.044,0.095,0.035,0.053,-0.128,0.089,0.105,0.033,0.017,0.088,-0.019,-0.076
Aug-2006,-0.041,-0.002,0.009,-0.029,-0.064,0.230,0.017,-0.001,-0.044,-0.035,0.042,0.236,0.146,0.050,0.020,0.040,0.001,0.007,0.014,0.025,0.044,0.016,0.072,0.101,0.038,0.013,0.009
Sep-2006,-0.019,0.135,0.067,0.053,-0.008,0.045,0.072,0.043,0.053,0.077,0.044,0.066,0.006,0.012,-0.004,0.004,0.029,0.004,0.089,0.038,-0.074,0.033,0.064,0.001,0.046,0.010,0.103
Oct-2006,0.031,0.053,0.034,0.013,-0.073,0.050,0.069,0.018,0.101,0.054,-0.006,0.057,0.056,0.127,-0.037,0.038,0.017,0.046,0.072,0.059,0.063,0.084,0.050,0.028,0.063,0.037,-0.001
Nov-2006,0.084,0.130,0.016,0.112,0.022,0.115,0.033,0.051,0.066,0.008,0.005,0.099,0.019,-0.001,0.000,-0.017,-0.024,0.009,0.026,0.039,0.035,-0.020,0.026,-0.009,-0.010,-0.014,-0.065
Dec-2006,-0.036,-0.074,0.033,0.004,-0.011,0.016,0.038,0.046,-0.009,-0.058,0.062,0.246,0.046,0.057,0.030,0.002,0.044,0.030,0.056,-0.043,0.029,-0.012,0.017,0.024,0.054,-0.031,0.005
Jan-2007,0.082,0.010,-0.038,0.008,0.050,-0.026,0.017,0.026,0.002,0.016,-0.031,0.176,0.051,0.021,-0.012,0.012,0.062,-0.008,0.001,-0.047,0.019,0.026,0.033,0.014,0.064,0.088,0.033
Feb-2007,0.034,-0.013,-0.023,-0.022,0.006,-0.026,0.031,-0.026,-0.077,0.035,-0.024,-0.003,-0.091,-0.060,0.075,-0.052,-0.030,-0.025,-0.015,0.003,-0.036,-0.013,-0.084,-0.021,-0.022,-0.031,0.013
Mar-2007,0.015,0.098,-0.008,0.019,0.040,-0.016,-0.026,0.005,-0.055,-0.059,0.013,0.267,0.022,0.014,0.011,-0.042,-0.020,0.036,0.031,0.032,0.052,0.009,-0.011,-0.005,0.071,-0.010,-0.024
Apr-2007,0.047,0.074,0.079,0.046,0.088,0.047,-0.005,0.016,0.104,-0.018,0.042,0.066,0.050,0.084,0.036,0.066,0.085,0.087,0.072,0.083,0.046,0.165,0.074,0.025,-0.009,0.033,0.021
May-2007,0.169,0.214,0.071,0.086,0.082,0.007,0.072,0.013,0.028,0.059,0.020,0.066,0.085,0.047,0.045,-0.008,-0.005,0.015,0.047,0.069,0.032,0.020,0.028,-0.013,0.067,0.055,-0.002
Jun-2007,-0.018,0.007,-0.058,-0.044,-0.004,0.035,-0.028,-0.037,0.097,-0.005,0.026,-0.020,-0.022,-0.013,-0.003,-0.026,-0.065,-0.006,0.004,-0.013,-0.003,-0.043,-0.040,-0.037,0.004,0.005,0.011
Jul-2007,-0.058,0.080,-0.041,0.076,0.011,0.038,-0.081,-0.033,-0.093,-0.002,0.012,-0.174,0.032,0.051,-0.051,-0.018,-0.084,-0.004,-0.057,0.024,-0.053,-0.003,-0.017,0.017,-0.048,0.029,-0.045
Aug-2007,-0.039,0.051,0.001,-0.062,-0.038,0.104,0.051,0.018,0.056,-0.010,0.003,-0.037,0.072,0.058,-0.046,0.028,0.012,0.032,0.029,0.029,0.044,0.010,-0.005,0.056,0.018,0.027,-0.046
Sep-2007,0.071,0.108,0.013,0.086,0.035,0.038,0.017,0.023,0.004,-0.044,0.072,0.099,0.011,0.010,0.022,0.063,0.029,0.075,0.106,0.028,0.013,0.038,0.025,0.077,0.061,0.078,0.000
Oct-2007,0.016,0.238,0.029,-0.061,-0.044,-0.002,-0.001,0.007,0.080,-0.013,-0.006,-0.009,0.038,-0.014,0.030,-0.008,0.034,0.075,0.097,-0.077,0.049,0.127,0.250,-0.007,-0.004,-0.048,0.036
Nov-2007,-0.081,-0.041,-0.032,-0.058,-0.036,-0.152,-0.060,-0.043,-0.181,-0.047,-0.070,-0.046,-0.010,-0.091,-0.080,0.046,-0.029,0.011,0.004,-0.030,0.063,0.019,-0.084,0.064,-0.086,-0.020,0.060
Dec-2007,0.005,0.087,-0.118,-0.055,0.009,-0.034,-0.045,-0.016,-0.069,-0.094,-0.023,-0.018,-0.012,0.028,-0.041,-0.015,-0.043,-0.012,0.008,0.013,-0.016,-0.015,0.059,-0.008,0.088,0.024,-0.003
Jan-2008,-0.095,-0.317,-0.052,-0.049,-0.016,-0.095,0.025,-0.076,-0.089,0.047,-0.046,-0.107,-0.134,-0.009,-0.006,-0.053,0.095,-0.039,-0.090,-0.055,0.003,-0.207,-0.084,-0.104,-0.065,-0.043,0.067
Feb-2008,0.128,-0.076,-0.139,0.000,0.019,-0.004,0.036,0.086,-0.148,-0.056,-0.054,0.075,0.093,0.067,-0.008,-0.012,-0.142,-0.009,0.017,-0.009,-0.035,-0.039,-0.162,0.012,-0.095,-0.033,-0.023
Mar-2008,-0.029,0.148,0.033,-0.102,0.082,-0.012,0.007,-0.032,0.040,0.053,0.117,-0.048,-0.043,0.011,-0.142,0.047,0.056,0.048,0.031,0.010,-0.005,-0.136,0.043,0.059,0.100,-0.024,0.067
Apr-2008,-0.031,0.212,0.103,0.141,0.051,0.064,0.046,0.034,0.013,0.035,-0.116,0.038,0.015,0.048,-0.038,0.034,0.118,-0.033,0.068,-0.028,-0.099,0.002,0.005,-0.038,0.021,0.053,0.101
May-2008,0.167,0.085,-0.035,-0.020,0.009,0.042,-0.012,0.036,-0.130,-0.043,-0.061,-0.051,0.015,0.077,0.049,0.002,-0.098,-0.027,-0.004,0.015,0.113,0.024,-0.003,-0.015,0.031,-0.015,0.000
Jun-2008,-0.123,-0.113,-0.187,-0.206,-0.107,-0.129,-0.105,-0.071,-0.058,-0.140,-0.122,-0.298,-0.059,-0.084,-0.144,-0.036,-0.202,-0.086,-0.046,-0.103,-0.064,-0.023,-0.029,-0.079,-0.155,-0.131,-0.027
Jul-2008,-0.052,-0.051,-0.010,-0.070,-0.053,-0.055,0.021,-0.027,0.015,0.001,0.060,0.101,0.013,0.080,0.190,0.064,0.198,-0.009,0.063,0.011,-0.010,-0.127,-0.065,0.084,-0.074,0.037,0.043
Aug-2008,-0.043,0.067,0.069,0.079,0.017,0.094,0.024,0.066,0.106,0.050,-0.007,-0.001,0.047,-0.045,-0.016,0.035,-0.053,0.011,0.043,0.024,0.034,0.084,0.065,0.065,0.038,0.030,0.012
Sep-2008,-0.297,-0.330,-0.107,-0.125,-0.157,-0.062,-0.093,-0.051,-0.051,-0.044,-0.081,-0.219,-0.013,-0.039,-0.032,-0.016,0.213,0.023,-0.005,-0.046,-0.042,-0.105,-0.022,-0.001,-0.127,-0.084,0.014
Oct-2008,-0.491,-0.053,-0.220,-0.086,-0.353,-0.212,-0.205,-0.156,-0.391,-0.173,-0.235,-0.417,-0.172,-0.205,-0.341,-0.115,-0.110,-0.167,-0.061,-0.059,-0.033,-0.019,-0.164,-0.068,-0.026,-0.085,-0.068
Nov-2008,-0.052,-0.139,-0.152,-0.181,0.073,-0.069,-0.207,-0.131,-0.174,0.081,-0.120,-0.279,-0.078,-0.117,-0.263,-0.037,-0.233,0.073,0.023,0.049,-0.162,-0.137,-0.088,-0.003,0.067,-0.110,0.001
