PERMNO,date,TICKER,PRC,SHROUT
10107,20120103,MSFT,26.76500,8390771
10107,20120104,MSFT,27.40000,8390771
10107,20120105,MSFT,27.68000,8390771
10107,20120106,MSFT,28.10500,8390771
10107,20120109,MSFT,27.74000,8390771
10107,20120110,MSFT,27.84000,8390771
10107,20120111,MSFT,27.72000,8390771
10107,20120112,MSFT,28.00000,8390771
10107,20120113,MSFT,28.25000,8390771
10107,20120117,MSFT,28.25500,8390771
10107,20120118,MSFT,28.23000,8390771
10107,20120119,MSFT,28.12000,8390771
10107,20120120,MSFT,29.71000,8390771
10107,20120123,MSFT,29.73000,8390771
10107,20120124,MSFT,29.34000,8390771
10107,20120125,MSFT,29.56000,8390771
10107,20120126,MSFT,29.50000,8390771
10107,20120127,MSFT,29.23000,8390771
10107,20120130,MSFT,29.61000,8390771
10107,20120131,MSFT,29.53000,8390771
10107,20120201,MSFT,29.89000,8390771
10107,20120202,MSFT,29.95000,8390771
10107,20120203,MSFT,30.24000,8390771
10107,20120206,MSFT,30.20000,8390771
10107,20120207,MSFT,30.35000,8390771
10107,20120208,MSFT,30.66000,8390771
10107,20120209,MSFT,30.77000,8390771
10107,20120210,MSFT,30.49500,8390771
10107,20120213,MSFT,30.58000,8390771
10107,20120214,MSFT,30.25000,8390771
10107,20120215,MSFT,30.05000,8390771
10107,20120216,MSFT,31.28500,8390771
10107,20120217,MSFT,31.25000,8390771
10107,20120221,MSFT,31.44000,8390771
10107,20120222,MSFT,31.27000,8390771
10107,20120223,MSFT,31.37000,8390771
10107,20120224,MSFT,31.48000,8390771
10107,20120227,MSFT,31.35000,8390771
10107,20120228,MSFT,31.87000,8390771
10107,20120229,MSFT,31.74000,8390771
10107,20120301,MSFT,32.29000,8390771
10107,20120302,MSFT,32.07500,8390771
10107,20120305,MSFT,31.80000,8390771
10107,20120306,MSFT,31.55500,8390771
10107,20120307,MSFT,31.84000,8390771
10107,20120308,MSFT,32.01000,8390771
10107,20120309,MSFT,31.99000,8390771
10107,20120312,MSFT,32.04000,8390771
10107,20120313,MSFT,32.67000,8390771
10107,20120314,MSFT,32.77000,8390771
10107,20120315,MSFT,32.85000,8390771
10107,20120316,MSFT,32.60000,8390771
10107,20120319,MSFT,32.20000,8390771
10107,20120320,MSFT,31.99000,8390771
10107,20120321,MSFT,31.91000,8390771
10107,20120322,MSFT,31.99500,8390771
10107,20120323,MSFT,32.01000,8390771
10107,20120326,MSFT,32.59000,8390771
10107,20120327,MSFT,32.52000,8390771
10107,20120328,MSFT,32.19000,8390771
10107,20120329,MSFT,32.12000,8390771
10107,20120330,MSFT,32.25500,8400000
10107,20120402,MSFT,32.29000,8400000
10107,20120403,MSFT,31.94000,8400000
10107,20120404,MSFT,31.21000,8400000
10107,20120405,MSFT,31.52000,8400000
10107,20120409,MSFT,31.10000,8400000
10107,20120410,MSFT,30.47000,8400000
10107,20120411,MSFT,30.34500,8400000
10107,20120412,MSFT,30.97500,8400000
10107,20120413,MSFT,30.81000,8400000
10107,20120416,MSFT,31.07500,8400000
10107,20120417,MSFT,31.44000,8400866
